#{"t_start": 1718792136.0473466, "env_id": "None"}
r,l,t
-175239.0,290,1025.121079
-177705.0,279,1026.192097
-183167.0,307,1027.319119
-178953.0,301,1034.211195
-165547.0,285,1035.43211
-171810.0,288,1036.474115
-165658.0,291,1037.536206
-180553.0,297,1038.641082
-179750.0,298,1039.869077
-168663.0,279,1041.015159
-171926.0,282,1048.498754
-176473.0,292,1049.682072
-173553.0,299,1050.827115
-178375.0,295,1051.969095
-171457.0,286,1053.046338
-189788.0,301,1054.215954
-191104.0,309,1055.539637
-175228.0,288,1063.279092
-173172.0,286,1064.417703
-184416.0,299,1065.555076
-164023.0,276,1066.620184
-173007.0,294,1067.724835
-173261.0,286,1068.792124
-174253.0,297,1069.919066
-183598.0,300,1076.937044
-149486.0,252,1078.001036
-173853.0,287,1079.253972
-165758.0,284,1080.357022
-166366.0,284,1081.47632
-179117.0,293,1082.632348
-182486.0,298,1083.782034
-172095.0,283,1091.263719
-168334.0,272,1092.444974
-161383.0,275,1093.511063
-172045.0,289,1094.657991
-196608.0,312,1095.794038
-168691.0,282,1096.929974
-176440.0,292,1098.071125
-177259.0,296,1099.261859
-180419.0,294,1107.017998
-181559.0,295,1108.211023
-171590.0,291,1109.336998
-180053.0,290,1110.473004
-187223.0,308,1111.665795
-168233.0,283,1112.765966
-174455.0,285,1113.865004
-168958.0,291,1121.442014
-159865.0,276,1122.521095
-202589.0,317,1123.745815
-151583.0,269,1124.852967
-184199.0,296,1126.165795
-162005.0,278,1127.354615
-173083.0,290,1128.460745
-180788.0,298,1136.097962
-172992.0,291,1137.246253
-178826.0,296,1138.414831
-185013.0,305,1139.623829
-172863.0,298,1140.828828
-159203.0,265,1141.946859
-185378.0,300,1143.125998
-190139.0,304,1150.663454
-171167.0,290,1151.783991
-191599.0,313,1152.949041
-170265.0,289,1154.194032
-168897.0,281,1155.274931
-158029.0,273,1156.312984
-185417.0,304,1157.442376
-174264.0,291,1164.762995
-167459.0,289,1165.94494
